Code,Section,Subsection,Control Point,Compliance Criteria,Criticality
FV-GFS 33.04.02,FV 33 POSTHARVEST HANDLING,FV 33.04 Pest control,Records are kept of pest control inspections and corrective actions taken.,Monitoring shall take place and records of pest control inspections and follow-up action plan(s) shall be kept.,Major Must
FV-GFS 33.07.01,FV 33 POSTHARVEST HANDLING,FV 33.07 Air and compressed gases ,"Air and compressed gases are monitored, stored, and handled so as to minimize food safety risks.","Air and compressed gases used in product handling (e.g., for drying) and which could affect food safety shall be regularly monitored, appropriately stored, and handled so as to minimize the risk of product contamination. Based on a risk assessment, the degree of monitoring appropriate for compressed air that comes into contact with the product shall be defined. Risk mitigation activities may include monitoring of filters and do not necessarily require laboratory analysis of air samples.",Major Must
FV-GFS 33.05.01,FV 33 POSTHARVEST HANDLING,FV 33.05 Product labeling,Final product labeling is appropriate.,"Where final product packing is included in the scope of certification, product labeling shall be done according to applicable prevailing regulations in the country of intended sale and any customer specifications.
Packaging may be provided by the customer, indicating compliance with customer specifications.",Major Must
FV-GFS 33.03.01,FV 33 POSTHARVEST HANDLING,FV 33.03 Temperature and humidity control,Controlled storage conditions are maintained.,"Temperature-, humidity- (where relevant), and atmosphere-controlled storage areas shall be monitored and maintained. Records of monitoring shall be kept.",Major Must
FV-GFS 33.02.01,FV 33 POSTHARVEST HANDLING,FV 33.02 Foreign bodies,Systems are in place to ensure that foreign materials do not contaminate products.,"Systems shall be in place to ensure that foreign materials, including insects, stones, debris, glass, and hard plastic, do not contaminate products.

Glass, hard plastic, and similar materials (light bulbs, fixtures, etc.) suspended above products or used for product handling shall be of a safety design or protected/shielded.",Major Must
FV-GFS 33.02.02,FV 33 POSTHARVEST HANDLING,FV 33.02 Foreign bodies,A procedure is in place for handling foreign material contamination.,"A documented procedure for handling foreign material contamination, including glass and hard plastic breakages (in greenhouses, product handling, preparation and storage areas, etc.) shall be in place.",Major Must
FV-GFS 33.01.04,FV 33 POSTHARVEST HANDLING,FV 33.01 Packing (in-field or facility) and storage areas,"Cleaning equipment, agents, lubricants, etc. are stored and used to prevent chemical contamination of products and are approved for application in the food industry.","To avoid chemical contamination of products, cleaning equipment, agents, lubricants, etc. shall be kept in a designated secure area, away from products.

Documented evidence (specific label mention or technical data sheet) shall exist authorizing use for the food industry of all cleaning agents, lubricants, etc. that may come into contact with products. Chemicals shall be applied according to the product label instructions.",Major Must
FV-GFS 33.01.03,FV 33 POSTHARVEST HANDLING,FV 33.01 Packing (in-field or facility) and storage areas,Packaging materials are appropriate for their intended use and stored under conditions that protect the materials from contamination.,"Packaging materials (including reusable crates) shall be appropriate for their intended use and stored under conditions that protect the materials from contamination and deterioration. Packaging materials may be stored outside, providing risks of contamination have been addressed (e.g., packaging materials sealed in plastic covers).",Major Must
FV-GFS 33.01.02,FV 33 POSTHARVEST HANDLING,FV 33.01 Packing (in-field or facility) and storage areas,"All locations for collection, storage, and distribution of packed products are cleaned and maintained.","All product handling and storage facilities and equipment (walls, floors, conveyance lines, machinery, etc.) shall be cleaned and maintained with a defined frequency according to a documented cleaning and maintenance schedule. Maintenance shall not introduce food safety risks. Records of cleaning and maintenance shall be kept.",Major Must
FV-GFS 33.01.01,FV 33 POSTHARVEST HANDLING,FV 33.01 Packing (in-field or facility) and storage areas,Harvested and packed products are stored to minimize food safety risks.,"All harvested products (packed products, bulk) are stored appropriately and protected from contamination in accordance with the hygiene risk assessment.",Major Must
FV-GFS 19.08,FV 19 HYGIENE,-,"Containers used for production and harvesting are cleaned, maintained, and appropriate for use.","Production and harvesting containers shall be made of nontoxic materials that do not pose a risk to food safety and be constructed to facilitate cleaning and maintenance.

Reusable containers shall be clean before use. A documented cleaning schedule that includes frequency and is in accordance with the hygiene risk assessment shall be in place. Disinfection shall be incorporated into the cleaning procedure when required in the hygiene risk assessment.

Harvest containers shall be used exclusively for product (not used to store chemicals, lubricants, oil, trash, tools, etc.).",Major Must
FV-GFS 30.01.04,FV 30 WATER MANAGEMENT,FV 30.01 Water use risk assessments and management plan,Actions are taken to complement on-farm water management with off-farm activities (while recognizing that the legal scope of the producer is on the farm).,"Available evidence should indicate awareness of the producer on (or participation in) projects, joint action, or collaboration on water management with stakeholders in the neighboring catchment area, watershed, landscape, or beyond, for example with other producers, sector- or crop-specific initiatives, nongovernmental organizations, etc.",Recom.
FV-GFS 13.03,FV 13 EQUIPMENT AND DEVICES,-,"Vehicles and equipment used for loading, transport, or storage of harvested products are cleaned, maintained, and appropriate for use.","Vehicles and equipment used for loading, transport, or storage of harvested products shall be cleaned and maintained and stored to prevent product contamination (animal manure, fuel spills, etc.).
Vehicles and equipment shall be suitable for the intended purpose and stored to minimize food safety risk.",Major Must
FV-GFS 30.04.01,FV 30 WATER MANAGEMENT,FV 30.04 Water storage,Water storage facilities are present and well maintained to take advantage of periods of maximum water availability.,"Where the farm is located in areas of seasonal water availability, there should be water storage facilities for water use during periods when water availability is low. These should be in a good state of repair and appropriately fenced/secured to prevent accidents.",Recom.
FV-GFS 30.02.02,FV 30 WATER MANAGEMENT,FV 30.02 Water sources,Restrictions indicated in water permits/licenses are complied with.,"It is not unusual for specific conditions to be set in the permits/licenses, such as hourly, daily, weekly, monthly, or yearly extraction volumes or usage rates.
Equipment used for monitoring extraction volumes shall be in the correct location to provide accurate readings.
Records shall be maintained and available to demonstrate that these conditions are being met.",Major Must
FV-GFS 30.02.01,FV 30 WATER MANAGEMENT,FV 30.02 Water sources,Water use at farm level has valid permits/licenses where legally required.,"Valid permits/licenses issued by the competent authority shall be available for all of the following:
- Farm water extraction
- Water storage infrastructure
- On-farm water usage including but not limited to irrigation, product washing, and flotation processes
- Water discharge into river courses or other environmentally sensitive areas, where legally required

These permits/licenses shall be available for the certification body (CB) audit and have valid dates.
If these are not available where required, there shall be evidence that the producer has actively applied for the permit(s), the approval is in process, and there is no clear evidence of an official prohibition for using the relevant water source(s).",Major Must
FV-GFS 30.06.03,FV 30 WATER MANAGEMENT,FV 30.06 Irrigation predictions and record keeping,Management of water is supported with metrics.,"Acceptable metrics allow calculating the following:
At minimum, the total monthly amount of water used on the farm in agricultural production (in m3/site/month). The amount of water abstracted from specific sources should also be listed.

Additional metrics may include, for example:
- The monthly amount of water used in irrigation/ha.
Indicators should refer to water sources (excluding rainwater), units of time (e.g., growing cycle), and the amounts of water used per kg of product and ha of production.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable. Results (data) on metrics at producer group and farm level should be available to indicate compliance.",Recom.
FV-GFS 30.06.02,FV 30 WATER MANAGEMENT,FV 30.06 Irrigation predictions and record keeping,Measures are taken to understand the amount of water used and actions identified for how to increase water use efficiency.,"Records of the use of crop irrigation/fertigation water shall be kept, offering estimates of the amount of water needed to support their production. Where possible, ways to increase water efficiency shall be identified.
In Option 2 producer groups, evidence at quality management system (QMS) level is acceptable.",Major Must
